Date,Station,Item,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,Sanyi,PM10,86,76,53,46,42,35,39,42,35,31,29,34,43,48,53,60,66,77,84,72,57,61,66,56
2014/01/02,Sanyi,PM10,48,43,39,38,35,31,29,32,29,27,31,37,46,50,38,45,62,79,93,88,71,66,65,51
2014/01/03,Sanyi,PM10,44,42,40,37,33,32,24,20,20,21,27,37,39,33,38,51,71,87,81,73,77,77,76,81
2014/01/04,Sanyi,PM10,87,88,82,76,65,65,79,94,104,115,119,120,114,108,109,120,148,180,199,213,211,193,172,155
2014/01/05,Sanyi,PM10,150,144,138,143,147,145,148,142,134,122,125,138,131,114,110,110,100,94,89,84,82,78,76,71
2014/01/07,Sanyi,PM10,60,55,53,53,44,39,45,48,48,55,77,87,82,83,82,76,76,83,81,71,93,99,79,77
2014/01/08,Sanyi,PM10,76,68,57,53,49,40,37,37,34,49,56,49,49,42,64,78,59,60,66,62,51,44,42,38
2014/01/09,Sanyi,PM10,31,33,37,35,37,38,37,37,32,26,27,32,34,32,27,31,38,35,28,24,27,26,16,13
2014/01/10,Sanyi,PM10,17,18,20,21,21,20,23,23,22,21,22,27,33,35,34,39,44,40,31,29,32,31,34,34
2014/01/11,Sanyi,PM10,34,42,43,45,46,46,49,56,53,49,50,49,59,57,48,56,64,61,57,55,50,48,53,70
2014/01/12,Sanyi,PM10,92,98,95,98,95,84,72,70,71,60,56,55,46,40,38,43,44,35,29,23,24,21,18,24
2014/01/13,Sanyi,PM10,24,22,24,21,20,22,24,29,37,46,48,46,50,57,61,59,56,57,61,67,67,61,64,64
2014/01/14,Sanyi,PM10,54,46,40,34,24,22,27,27,24,23,18,21,18,13,13,12,20,28,29,26,22,21,22,24
2014/01/17,Sanyi,PM10,31,31,32,28,32,33,33,40,42,35,34,39,42,43,45,51,55,55,54,48,42,35,29,26
2014/01/18,Sanyi,PM10,27,27,22,22,23,21,22,24,34,45,55,73,115,148,158,165,161,153,141,139,133,112,98,88
2014/01/19,Sanyi,PM10,81,76,75,70,61,56,56,53,48,43,62,98,106,99,97,97,104,108,109,105,97,94,94,89
2014/01/20,Sanyi,PM10,86,86,87,98,108,101,97,95,90,83,70,67,75,75,75,71,67,71,66,59,51,60,73,70
2014/01/21,Sanyi,PM10,77,92,100,104,103,112,128,137,152,166,169,171,169,159,150,132,117,99,84,77,70,65,62,56
2014/01/22,Sanyi,PM10,51,45,43,45,46,44,40,40,42,43,42,43,45,50,54,49,50,48,40,37,35,33,33,32
2014/01/23,Sanyi,PM10,27,23,23,23,22,29,34,34,33,31,39,46,53,55,53,48,42,44,50,59,54,38,27,28
2014/01/24,Sanyi,PM10,39,44,40,38,35,33,45,51,44,48,48,45,57,59,45,38,28,29,43,54,57,51,43,37
2014/01/25,Sanyi,PM10,37,33,26,22,20,16,16,18,20,16,16,23,27,27,28,26,24,32,51,55,53,56,45,31
2014/01/27,Sanyi,PM10,45,43,43,43,39,37,37,34,38,39,38,42,40,46,56,57,55,57,54,51,57,50,42,44
2014/01/29,Sanyi,PM10,46,49,44,45,48,49,46,44,54,50,51,68,79,76,64,66,66,71,83,76,71,83,73,56
2014/01/30,Sanyi,PM10,62,73,60,42,44,46,46,51,49,48,53,50,55,61,57,55,57,65,72,73,77,71,75,73
2014/01/31,Sanyi,PM10,65,62,53,45,42,37,33,29,29,29,48,76,86,89,84,84,90,90,88,89,88,81,66,53
2014/02/01,Sanyi,PM10,50,49,45,45,43,40,39,46,46,39,34,32,34,42,44,43,43,42,127,148,98,92,64,46
2014/02/02,Sanyi,PM10,37,35,35,37,35,29,27,29,33,32,32,31,32,39,39,39,39,43,39,43,111,110,53,51
2014/02/03,Sanyi,PM10,46,46,43,38,33,29,28,27,24,24,23,24,37,45,45,44,37,37,51,62,64,62,65,62
2014/02/04,Sanyi,PM10,67,73,70,67,60,49,37,27,26,23,21,21,29,40,38,33,31,24,18,18,15,18,20,10
2014/02/05,Sanyi,PM10,11,11,5,6,7,6,9,6,7,11,11,7,9,16,20,26,37,43,45,44,46,55,53,46
2014/02/07,Sanyi,PM10,49,34,23,21,22,33,53,51,32,23,29,34,32,31,29,39,49,40,34,31,24,27,28,28
