日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,三義,AMB_TEMP,11,11,10,10,9.3,9.1,9.1,9.7,13,17,20,21,21,21,20,19,19,16,15,14,14,15,16,15
2014/01/01,三義,CO,0.56,0.48,0.39,0.42,0.34,0.34,0.36,0.38,0.34,0.28,0.27,0.33,0.35,0.38,0.37,0.36,0.41,0.52,0.65,0.52,0.57,0.64,0.54,0.54
2014/01/01,三義,NO,2.2,1,0.8,1.1,1.2,1,1,1.3,1.7,1.3,1.4,2.1,2.1,2.6,2,1.6,1.4,1.1,1.2,1.2,1.2,1.1,1.4,1.4
2014/01/01,三義,NO2,19,14,5.8,9.3,7.2,2.6,1.9,3,4.3,1.6,1.8,5.1,6.9,9.7,10,10,13,15,15,11,13,20,18,18
2014/01/01,三義,NOx,21,16,6.6,10,8.4,3.6,3,4.3,6,2.9,3.2,7.1,9,12,12,12,14,16,16,12,14,21,19,20
2014/01/01,三義,O3,19,25,36,34,31,33,36,33,36,41,44,45,50,51,64,66,59,48,35,38,39,31,35,30
2014/01/01,三義,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,三義,PM10,86,76,53,46,42,35,39,42,35,31,29,34,43,48,53,60,66,77,84,72,57,61,66,56
2014/01/01,三義,PM2.5,58,51,36,32,26,26,28,28,28,19,14,23,28,35,37,36,42,52,56,46,35,37,39,34
2014/01/01,三義,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,三義,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,三義,RH,91,90,89,85,90,90,87,86,72,58,47,47,53,57,62,65,68,78,86,86,85,83,77,78
2014/01/01,三義,SO2,3.2,2.1,1.9,1.8,1.5,1.3,1.4,1.3,1.4,1.3,1.2,1.3,1.6,2.9,3.6,3.6,3.5,3,2,1.9,2.3,2.6,2.9,2.1
2014/01/01,三義,WD_HR,48,34,24,37,26,20,34,29,39,20,174,310,14,7.1,48,47,41,24,24,48,74,223,251,255
2014/01/01,三義,WIND_DIREC,52,16,32,31,26,18,11,35,41,334,322,343,338,332,311,26,37,16,25,103,312,199,286,300
2014/01/01,三義,WIND_SPEED,2.6,2,2.5,2,1.6,1.3,1.5,1.9,2.3,1.1,0.9,2.8,2.3,2.4,3.3,3.2,2,0.8,0.6,0.5,0.6,0.6,0.8,0.6
2014/01/01,三義,WS_HR,1.4,1.1,1.3,1.5,1.4,1.4,0.5,1.3,1.3,0.7,0.6,0.2,1.1,1.2,0.6,0.8,0.9,1.1,0.6,0.4,0.2,0.3,0.7,0.2
2014/01/02,三義,AMB_TEMP,14,14,13,12,12,11,11,12,17,19,21,22,22,23,24,22,21,19,18,18,17,17,17,16
2014/01/02,三義,CO,0.54,0.37,0.29,0.27,0.23,0.22,0.22,0.28,0.29,0.25,0.23,0.25,0.31,0.28,0.25,0.26,0.34,0.54,0.56,0.55,0.38,0.49,0.4,0.37
2014/01/02,三義,NO,1.3,1.2,1.1,0.7,0.6,0.6,0.5,0.9,2.2,1.9,1.3,1.9,3.2,2.7,1.6,1.5,0.9,0.8,0.8,0.8,0.9,2.7,1.2,0.9
2014/01/02,三義,NO2,10,7,5.3,2.8,2.7,2.3,2.5,3.6,11,4.8,4.6,7.7,16,12,7.6,8.7,14,29,32,28,16,28,25,12
2014/01/02,三義,NOx,11,8.2,6.3,3.5,3.3,2.9,2.9,4.5,13,6.6,5.9,9.6,19,14,9.2,10,15,30,33,28,17,31,26,13
2014/01/02,三義,O3,37,39,37,36,32,32,33,32,33,41,48,51,51,53,54,57,57,37,31,24,37,17,15,27
2014/01/02,三義,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,三義,PM10,48,43,39,38,35,31,29,32,29,27,31,37,46,50,38,45,62,79,93,88,71,66,65,51
2014/01/02,三義,PM2.5,32,28,22,17,19,20,18,20,17,15,20,20,23,28,25,27,35,49,61,57,45,39,35,33
2014/01/02,三義,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,三義,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,三義,RH,80,80,85,89,90,91,91,88,67,61,52,51,52,49,49,59,67,74,79,82,80,81,85,85
2014/01/02,三義,SO2,1.7,1.7,2.3,1.4,1.3,1.3,1.2,1.3,1.3,1.5,1.6,2.4,4,3.2,2.7,2.9,3.6,4.2,4.1,2.9,5.1,5.5,3.3,2.2
2014/01/02,三義,WD_HR,342,83,38,17,17,18,16,13,82,61,23,28,353,357,230,342,32,26,37,21,126,104,17,15
2014/01/02,三義,WIND_DIREC,353,88,12,24,11,16,18,354,167,36,36,328,88,154,286,84,3.6,24,20,54,234,13,27,37
2014/01/02,三義,WIND_SPEED,0.6,0.5,1.1,0.9,1.2,1.7,1.5,1.9,1.6,2.6,2.2,3.9,2.4,1.6,2.4,2.9,2.3,2.2,1.4,0.5,0.7,1.5,1.5,0.5
2014/01/02,三義,WS_HR,0.2,0.3,0.5,0.9,0.9,1.3,1.5,1.3,0.4,0.5,0.8,1,0.8,0.5,1.5,0.4,0.9,1.6,1.1,0.6,0.3,0.2,1.1,0.8
2014/01/03,三義,AMB_TEMP,17,17,17,16,16,16,17,18,19,20,21,22,22,22,22,21,19,19,18,18,18,18,17,17
2014/01/03,三義,CO,0.32,0.29,0.29,0.29,0.26,0.27,0.23,0.26,0.3,0.37,0.3,0.27,0.26,0.25,0.27,0.28,0.4,0.42,0.41,0.38,0.42,0.45,0.46,0.53
2014/01/03,三義,NO,0.7,0.8,0.8,1.3,1.1,1.3,1.7,2.2,4.5,7.9,4.4,2.4,1.9,1.6,2.1,2,2.1,1.5,1,1.2,1.2,1.1,1.4,2.3
2014/01/03,三義,NO2,7.5,10,18,18,8.5,10,7.8,14,17,15,12,7.9,7.8,6.6,8.4,12,21,23,17,15,21,24,22,29
2014/01/03,三義,NOx,8.2,11,19,19,9.6,11,9.5,16,22,23,17,10,9.7,8.3,11,14,23,25,18,17,22,25,24,31
2014/01/03,三義,O3,34,34,20,17,28,24,33,24,20,23,35,45,51,51,45,41,31,28,32,33,23,16,10,5
2014/01/03,三義,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/03,三義,PM10,44,42,40,37,33,32,24,20,20,21,27,37,39,33,38,51,71,87,81,73,77,77,76,81
2014/01/03,三義,PM2.5,30,23,23,23,23,22,13,10,11,11,15,23,23,18,15,21,38,50,54,47,45,46,42,47
2014/01/03,三義,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
