日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,淡水,CO,0.82,0.89,0.97,1.1,0.65,0.62,0.64,0.72,1.12,1.09,0.33,0.28,0.27,0.28,0.26,0.26,0.28,0.3,0.27,0.24,0.24,0.25,0.23,0.24
2014/01/01,淡水,NO,5.1,6.2,5,11,2.3,2.5,6.3,4.6,22,24,2.1,1.4,1.2,1.3,1.4,1.3,1.2,1.2,1.1,1.2,1.2,1.1,1.2,1.2
2014/01/01,淡水,NO2,28,27,37,38,21,21,25,25,38,49,8.8,5.1,4.5,4.9,4.4,4.9,7,7.5,6.4,5,5,6.1,4.1,4.6
2014/01/01,淡水,NOx,33,33,42,50,23,24,31,29,61,73,11,6.5,5.7,6.1,5.8,6.1,8.1,8.7,7.5,6.2,6.2,7.2,5.3,5.8
2014/01/01,淡水,O3,13,15,7.9,5.4,19,18,17,15,8.6,15,52,57,59,59,59,58,57,58,59,60,58,56,59,57
2014/01/01,淡水,PM10,46,45,50,60,57,49,48,49,55,75,67,54,53,42,39,40,43,46,46,40,40,44,43,38
2014/01/01,淡水,PM2.5,26,28,31,35,36,31,29,28,33,45,40,26,25,28,26,24,26,25,26,24,20,23,22,23
2014/01/01,淡水,SO2,1.9,2.4,3.6,3.9,2.5,3.2,3.4,5.2,6.3,5,4.8,3.9,4.4,4,3.1,3,2.5,2.8,3.4,3,2.6,2.5,2.3,2.2
2014/01/01,淡水,UVB,0,0,0,0,0,0,0,0.2,0.8,1.8,3,4,3.9,3.2,2,0.8,0.2,0,0,0,0,0,0,0
2014/01/02,淡水,CO,0.22,0.21,0.21,0.22,0.28,0.33,0.44,0.81,0.91,0.73,0.59,0.4,0.36,0.35,0.32,0.29,0.31,0.32,0.35,1.43,1.53,1.89,0.74,0.57
2014/01/02,淡水,NO,1.3,1.3,1.3,0.2,0,0.3,0.4,16,16,8.7,6.5,3.8,3.6,2.5,1.4,1.1,0.8,0.5,0.5,25,31,50,9.4,1.2
2014/01/02,淡水,NO2,4.4,3,3,3.2,6.1,10,19,34,36,32,25,19,18,16,15,14,15,20,20,47,51,54,35,32
2014/01/02,淡水,NOx,5.6,4.2,4.3,3.3,6.1,11,19,50,53,41,32,23,21,18,17,15,16,21,20,72,82,104,44,33
2014/01/02,淡水,O3,57,58,58,54,47,38,25,11,12,21,28,33,42,52,58,56,56,42,35,5.5,3.3,3.4,16,12
2014/01/02,淡水,PM10,39,42,38,39,42,43,48,55,65,65,68,73,66,59,59,57,62,61,55,72,89,86,86,90
2014/01/02,淡水,PM2.5,25,25,24,22,24,26,26,29,34,36,38,40,42,42,40,37,33,36,34,40,47,44,45,46
2014/01/02,淡水,SO2,2.2,1.7,1.7,1.8,2.3,3.3,3.8,3.8,5.4,4.2,5.9,9.3,11,7.4,5.6,5.5,4.1,3.5,2.6,4.1,6.1,6.7,9.4,8.5
2014/01/02,淡水,UVB,0,0,0,0,0,0,0,0.2,0.9,1.7,2.7,3.2,3.7,3.2,1.9,0.9,0.2,0,0,0,0,0,0,0
2014/01/03,淡水,CO,0.51,0.34,0.33,0.35,0.36,0.36,0.36,0.34,0.44,0.36,0.37,0.41,0.29,0.25,0.25,0.46,0.72,0.54,0.57,0.5,0.54,0.93,1,0.93
2014/01/03,淡水,NO,1.5,0.3,0.3,1.1,0.5,0.7,0.6,0.7,1.8,2,3.3,10,1.7,1.1,1.4,3.3,5,1.8,0.6,1,1.1,5.6,8.3,5.4
2014/01/03,淡水,NO2,30,20,11,14,9.6,11,10,8.6,18,18,23,33,13,8.3,15,36,51,26,23,18,20,39,39,38
2014/01/03,淡水,NOx,31,20,12,15,10,11,11,9.3,20,20,27,44,15,9.5,16,39,56,27,23,19,21,44,47,44
2014/01/03,淡水,O3,14,24,27,23,33,32,33,32,22,29,30,26,48,54,49,34,21,40,41,44,35,9.1,5.3,6.3
2014/01/03,淡水,PM10,94,89,83,88,97,101,97,88,87,88,84,93,82,65,61,73,97,88,66,59,55,60,66,67
2014/01/03,淡水,PM2.5,47,47,48,51,53,55,52,52,55,55,53,53,49,36,34,45,55,48,39,36,33,35,40,41
2014/01/03,淡水,SO2,7.8,6.9,5.6,5.9,4,4.6,3.4,2.8,4,9.1,16,17,5,2.5,6,10,12,5,3.3,2.7,2.6,2.7,3.4,3.9
2014/01/03,淡水,UVB,0,0,0,0,0,0,0,0.1,0.5,1.1,1.9,3.8,2.1,1.6,1.1,0.5,0.1,0,0,0,0,0,0,0
2014/01/04,淡水,CO,0.98,0.83,0.54,0.49,0.5,0.55,0.58,0.61,0.61,0.56,0.55,0.63,0.8,0.99,0.9,0.85,0.82,0.89,0.88,0.8,0.83,1.04,1.21,1.25
2014/01/04,淡水,NO,5.1,2.5,0.7,1.2,1,1.2,1.2,1.6,2.4,2.3,2,2.1,2.2,2.4,2.1,2.1,1.7,2,1.9,1.8,1.8,1.9,3.4,6.8
2014/01/04,淡水,NO2,38,34,17,9,8.7,12,15,19,19,17,14,17,25,34,30,27,27,29,28,22,25,33,39,38
2014/01/04,淡水,NOx,43,37,17,10,9.7,13,17,20,22,20,16,19,27,36,32,29,28,31,30,24,27,35,42,45
2014/01/04,淡水,O3,4.7,9.3,48,58,57,47,42,42,43,46,53,54,54,51,52,55,56,48,43,47,42,27,20,20
2014/01/04,淡水,PM10,71,68,81,105,106,110,122,125,125,127,122,133,167,207,225,215,202,178,158,154,156,153,153,163
2014/01/04,淡水,PM2.5,41,41,56,70,66,63,64,64,64,60,58,67,87,111,121,113,101,87,78,74,78,80,80,86
2014/01/04,淡水,SO2,3.3,3.2,6.1,7.5,7.4,8.2,8.5,8.2,7.7,7,7.7,10,12,15,16,17,16,14,14,14,13,10,9.4,12
2014/01/04,淡水,UVB,0,0,0,0,0,0,0,0.1,0.4,0.9,1.1,1.3,0.9,0.5,0.3,0.3,0.1,0,0,0,0,0,0,0
2014/01/05,淡水,CO,0.85,0.8,0.71,0.68,0.63,0.62,0.65,0.76,0.88,0.63,0.43,0.37,0.35,0.35,0.36,0.36,0.39,0.49,0.81,0.43,0.39,0.34,0.31,0.29
2014/01/05,淡水,NO,1.4,1.4,1.2,0.6,1,0.9,1.3,3.2,4.2,2.7,1.5,1.2,1,1.3,1.4,1.3,1.2,1.6,2.6,1.4,0.9,1.1,0.8,0.6
2014/01/05,淡水,NO2,17,17,15,13,12,13,19,26,28,18,8.7,7.9,7.2,7.2,6.9,6.9,7.9,13,27,10,9.7,6.9,4.7,5.6
2014/01/05,淡水,NOx,18,18,16,13,13,13,20,30,33,21,10,9,8.2,8.5,8.3,8.2,9,15,30,12,11,8,5.5,6.2
2014/01/05,淡水,O3,46,44,47,51,55,51,45,34,27,45,58,59,60,61,60,61,61,53,28,55,55,56,59,56
2014/01/05,淡水,PM10,185,194,175,160,154,144,137,137,139,137,112,88,78,75,77,79,82,83,89,87,77,68,66,71
2014/01/05,淡水,PM2.5,97,103,100,91,83,78,73,68,73,74,59,46,42,37,35,39,40,40,45,45,40,35,34,34
2014/01/05,淡水,SO2,14,12,11,12,13,12,12,11,10,12,9.9,8.5,7.8,7.8,7.7,8.1,8.6,8.4,6.1,8.2,6.9,6.4,7.6,8.3
2014/01/05,淡水,UVB,0,0,0,0,0,0,0,0.2,0.7,1.5,2.6,3.4,3.5,2.9,1.8,0.8,0.2,0,0,0,0,0,0,0
